,RMSD,$INF_{all}$,DI,MCQ,GDT-TS,CAD-score,εRMSD,TM-score,lDDT,MAE
RMSD,10.0,5.39,9.68,9.13,4.32,6.14,8.25,6.01,4.94,5.76
$INF_{all}$,5.39,10.0,5.67,5.33,5.51,6.6,6.17,7.35,6.66,7.37
DI,9.68,5.67,10.0,9.17,4.31,6.11,8.44,5.99,4.98,5.81
MCQ,9.13,5.33,9.17,10.0,4.2,6.06,8.19,5.98,4.94,6.48
GDT-TS,4.32,5.51,4.31,4.2,10.0,6.3,3.97,6.89,5.42,6.37
CAD-score,6.14,6.6,6.11,6.06,6.3,10.0,5.58,7.42,6.25,7.49
εRMSD,8.25,6.17,8.44,8.19,3.97,5.58,10.0,5.54,5.1,5.54
TM-score,6.01,7.35,5.99,5.98,6.89,7.42,5.54,10.0,7.27,8.72
lDDT,4.94,6.66,4.98,4.94,5.42,6.25,5.1,7.27,10.0,7.26
MAE,5.76,7.37,5.81,6.48,6.37,7.49,5.54,8.72,7.26,10.0
