,RMSD,$INF_{all}$,DI,MCQ,GDT-TS,CAD-score,εRMSD,TM-score,lDDT,MAE
RMSD,1.0,0.77,0.89,0.8,0.69,0.73,0.8,0.88,0.84,0.81
$INF_{all}$,0.77,1.0,0.88,0.77,0.61,0.76,0.89,0.77,0.8,0.75
DI,0.89,0.88,1.0,0.72,0.62,0.71,0.8,0.79,0.81,0.72
MCQ,0.8,0.77,0.72,1.0,0.74,0.75,0.85,0.9,0.81,0.99
GDT-TS,0.69,0.61,0.62,0.74,1.0,0.9,0.61,0.75,0.7,0.77
CAD-score,0.73,0.76,0.71,0.75,0.9,1.0,0.79,0.8,0.81,0.78
εRMSD,0.8,0.89,0.8,0.85,0.61,0.79,1.0,0.84,0.84,0.85
TM-score,0.88,0.77,0.79,0.9,0.75,0.8,0.84,1.0,0.85,0.89
lDDT,0.84,0.8,0.81,0.81,0.7,0.81,0.84,0.85,1.0,0.81
MAE,0.81,0.75,0.72,0.99,0.77,0.78,0.85,0.89,0.81,1.0
