,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost,mae_gold,mae_dna
normalized_rp21.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-16465.5,212905.0,-0.077,0.0,0.0,0.0,1.116,-33210.446,-6301.622,1.0,1.0,,29.70047495855802
normalized_21_ChenLowLig_2_rpr.pdb,3.83,5.578870698741414e-13,0.643,0.815,0.0,0.679,5.953,,0.319,0.64,0.195,0.537,0.829,1.0,0.683,-20864.7,207636.0,-0.1,0.0,0.378,1.703,0.869,-32781.4,-5355.495,0.022,0.325,34.70863509749304,19.9726553944179
normalized_21_ChenHighLig_2_rpr.pdb,3.83,5.578870698741414e-13,0.643,0.815,0.0,0.679,5.953,,0.319,0.64,0.195,0.537,0.829,1.0,0.683,-20865.4,207637.0,-0.1,0.0,0.378,1.703,0.869,-32780.067,-5356.353,0.022,0.325,34.7125348189415,19.972369680132182
normalized_21_DasLORES_1_rpr.pdb,3.933,8.436029652614252e-13,0.766,0.881,0.424,0.806,5.134,,0.316,0.646,0.22,0.488,0.878,1.0,0.739,-17969.6,212322.0,-0.085,0.0,0.328,1.341,0.933,-33398.086,-5882.057,0.592,0.329,34.615041782729804,24.686873784746442
normalized_21_DasLORES_2_rpr.pdb,4.135,1.882438649403184e-12,0.662,0.881,0.0,0.734,6.245,,0.288,0.61,0.22,0.415,0.805,1.0,0.684,-19870.2,203961.0,-0.097,0.0,0.385,1.746,0.945,-33004.078,-6060.229,0.513,0.292,32.945125348189414,19.375085923331124
normalized_21_ChenHighLig_1_rpr.pdb,4.139,1.9133028494877635e-12,0.655,0.92,0.0,0.71,6.319,,0.303,0.592,0.244,0.415,0.707,1.0,0.674,-20967.6,207066.0,-0.101,0.0,0.416,1.841,0.791,-31550.306,-5735.81,0.01,0.328,35.95300859598854,22.460598071603215
normalized_21_ChenLowLig_1_rpr.pdb,4.139,1.9133583606389948e-12,0.655,0.92,0.0,0.71,6.319,,0.303,0.592,0.244,0.415,0.707,1.0,0.674,-20963.6,207067.0,-0.101,0.0,0.416,1.841,0.791,-31550.827,-5734.135,0.01,0.328,35.95329512893983,22.458245130426743
normalized_21_Adamiak_4_rpr.pdb,4.74,1.9268475703881904e-11,0.552,0.92,0.224,0.46,8.586,,0.238,0.549,0.146,0.342,0.732,0.976,0.587,-13228.3,190538.0,-0.069,0.0,0.45,1.652,0.603,-28851.423,-4988.121,0.479,0.257,40.78217270194986,27.385836690630228
normalized_21_Adamiak_3_rpr.pdb,4.746,1.9722334876348668e-11,0.56,0.92,0.224,0.47,8.474,,0.227,0.567,0.146,0.366,0.78,0.976,0.571,-12029.8,186740.0,-0.064,0.0,0.438,1.698,0.572,-27283.926,-4760.962,0.473,0.278,42.7,30.233482298714776
normalized_21_Adamiak_1_rpr.pdb,4.802,2.4264812381602496e-11,0.522,0.881,0.0,0.46,9.205,,0.249,0.567,0.171,0.342,0.756,1.0,0.562,-11380.2,188579.0,-0.06,0.0,0.441,1.763,0.526,-27197.973,-4613.907,0.459,0.248,43.25459610027855,29.276534409659252
normalized_21_Adamiak_2_rpr.pdb,4.808,2.4801438680555062e-11,0.544,0.881,0.224,0.46,8.832,,0.24,0.573,0.171,0.366,0.756,1.0,0.561,-11731.8,187809.0,-0.062,0.0,0.442,1.742,0.549,-27657.825,-4731.651,0.46,0.232,42.74958217270195,28.399168774196077
normalized_21_ChenLowLig_4_rpr.pdb,4.815,2.5546398330078543e-11,0.55,0.877,0.0,0.622,8.756,,0.232,0.537,0.146,0.342,0.707,0.951,0.692,-19464.2,203130.0,-0.096,0.0,0.508,1.882,0.763,-31254.089,-4938.419,0.031,0.235,41.62206303724928,25.341091285032384
normalized_21_ChenHighLig_4_rpr.pdb,4.816,2.554800815346425e-11,0.55,0.877,0.0,0.622,8.756,,0.232,0.537,0.146,0.342,0.707,0.951,0.692,-19458.9,203126.0,-0.096,0.0,0.508,1.882,0.763,-31255.745,-4940.435,0.031,0.235,41.62664756446991,25.34432657915003
normalized_21_Das_3_rpr.pdb,4.886,3.3145874933637736e-11,0.55,0.92,0.0,0.585,8.875,,0.234,0.549,0.171,0.342,0.732,0.951,0.631,-18179.5,204064.0,-0.089,0.0,0.492,1.843,0.855,-33562.952,-5344.548,0.467,0.335,36.79693593314763,18.60490978458949
normalized_21_ChenHighLig_3_rpr.pdb,5.099,7.261125034574434e-11,0.567,0.92,0.0,0.543,8.993,,0.222,0.506,0.22,0.317,0.537,0.951,0.665,-20526.6,221949.0,-0.092,0.0,0.53,1.886,0.818,-33645.379,-5789.719,0.022,0.295,34.78635097493036,18.492657072884697
normalized_21_ChenLowLig_3_rpr.pdb,5.099,7.261313772488619e-11,0.567,0.92,0.0,0.543,8.993,,0.222,0.506,0.22,0.317,0.537,0.951,0.665,-20529.3,221948.0,-0.092,0.0,0.53,1.886,0.818,-33645.743,-5789.468,0.029,0.295,34.788857938718664,18.48979993002755
normalized_21_Das_2_rpr.pdb,5.345,1.7641282878955167e-10,0.649,0.881,0.0,0.748,8.237,,0.252,0.518,0.195,0.366,0.61,0.902,0.679,-19282.8,214383.0,-0.09,0.0,0.564,1.934,0.897,-35237.627,-5829.336,0.517,0.296,35.709749303621166,21.16322691018241
normalized_21_Das_4_rpr.pdb,5.504,3.0999347533366967e-10,0.648,0.881,0.0,0.73,8.495,,0.252,0.518,0.171,0.317,0.683,0.902,0.657,-18999.5,211590.0,-0.09,0.0,0.554,1.844,0.862,-34351.727,-5612.454,0.498,0.29,34.41030640668524,19.898811086382185
normalized_21_Das_1_rpr.pdb,5.506,3.1217661788929263e-10,0.624,0.846,0.0,0.698,8.825,,0.27,0.543,0.22,0.39,0.683,0.878,0.672,-20571.0,214121.0,-0.096,0.0,0.571,1.891,0.896,-35640.665,-5747.93,0.527,0.316,34.99610027855153,17.96117106301444
normalized_21_Adamiak_5_rpr.pdb,5.692,5.977652262068034e-10,0.553,0.92,,0.47,10.287,,0.212,0.494,0.146,0.293,0.61,0.927,0.558,-11319.5,172654.0,-0.066,0.0,0.536,1.69,0.577,-26275.605,-4282.532,0.423,0.208,43.16601671309192,29.21705375780378
normalized_21_Das_5_rpr.pdb,6.099,2.3918448888160526e-09,0.729,0.846,0.381,0.8,8.367,,0.306,0.598,0.244,0.512,0.78,0.854,0.715,-17679.2,208499.0,-0.085,0.0,0.635,1.612,0.901,-34157.099,-4804.876,0.578,0.305,35.6866295264624,23.507292625427247
normalized_21_DasLORES_4_rpr.pdb,6.39,6.238506211619921e-09,0.643,0.881,0.0,0.667,9.933,,0.205,0.469,0.195,0.317,0.463,0.902,0.65,-17901.4,194745.0,-0.092,0.0,0.623,1.736,0.909,-31212.461,-5356.589,0.436,0.19,34.24623955431755,17.671962920052664
normalized_21_Bujnicki_4_rpr.pdb,6.541,1.0165729036337725e-08,0.642,0.881,0.0,0.668,10.196,,0.223,0.463,0.22,0.342,0.463,0.829,0.655,-20384.6,201925.0,-0.101,0.0,0.646,1.729,0.963,-32663.372,-5321.59,0.466,0.279,37.0091922005571,16.65648444366455
normalized_21_Bujnicki_1_rpr.pdb,6.866,2.8409384789096492e-08,0.648,0.836,0.0,0.708,10.593,,0.219,0.408,0.171,0.342,0.415,0.707,0.656,-20152.9,214608.0,-0.094,0.0,0.726,1.881,0.875,-33464.251,-5528.543,0.478,0.273,35.3008356545961,20.900646038600375
normalized_21_ChenLowLig_5_rpr.pdb,7.238,8.867901235554143e-08,0.623,0.881,0.0,0.657,11.627,,0.261,0.5,0.244,0.39,0.561,0.805,0.658,-21182.8,200625.0,-0.106,0.0,0.732,1.808,0.827,-30937.289,-5502.029,0.018,0.289,37.2906779661017,23.51870190938314
normalized_21_ChenHighLig_5_rpr.pdb,7.238,8.868918960347474e-08,0.623,0.881,0.0,0.657,11.627,,0.261,0.5,0.244,0.39,0.561,0.805,0.658,-21186.1,200629.0,-0.106,0.0,0.732,1.808,0.826,-30933.645,-5501.018,0.018,0.289,37.29124293785311,23.517832344165747
normalized_21_Bujnicki_2_rpr.pdb,9.017,1.1501202537123056e-05,0.667,0.846,0.0,0.728,13.525,,0.265,0.427,0.244,0.366,0.463,0.634,0.633,-22326.4,190040.0,-0.117,0.0,0.981,1.817,1.007,-31402.114,-5598.865,0.244,0.279,35.68440111420613,20.31936320604597
normalized_21_DasLORES_5_rpr.pdb,9.038,1.2114495593795738e-05,0.63,0.881,0.0,0.657,14.347,,0.198,0.402,0.195,0.317,0.463,0.634,0.654,-14949.0,189955.0,-0.079,0.0,0.915,1.712,0.897,-29583.92,-4793.001,0.408,0.208,36.85877437325905,25.43726296888079
normalized_21_simRNA_4_rpr.pdb,10.846,0.0006460892446122,0.486,0.404,,0.603,22.315,,0.155,0.299,0.122,0.22,0.317,0.537,0.603,-20158.6,204227.0,-0.099,0.0,1.158,2.176,0.842,-31255.036,-5437.537,0.039,0.162,38.16834733893557,21.174679154532296
normalized_21_simRNA_2_rpr.pdb,11.716,0.0031268378514923,0.542,0.458,,0.668,21.613,,0.176,0.299,0.171,0.244,0.342,0.439,0.61,-21260.6,197489.0,-0.108,0.0,1.259,2.194,0.86,-31263.384,-5309.612,0.058,0.181,37.30868347338936,21.45223690250942
normalized_21_simRNA_1_rpr.pdb,12.055,0.0054511475350334,0.381,0.404,0.0,0.438,31.631,,0.224,0.366,0.22,0.342,0.415,0.488,0.566,-18100.8,195428.0,-0.093,0.0,1.241,2.236,0.893,-29478.884,-4922.573,0.002,0.219,41.39827089337176,22.26574976191801
