,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost,mae_gold,mae_dna
normalized_1y39D.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-21471.0,363955.0,-0.059,,0.0,0.0,1.175,-47081.316,-7661.951,-606.1904,1.0,1.0,,25.61792003961257
normalized_1y39D_M1.pdb,,,0.324,0.0,0.111,0.468,,,0.0,0.0,0.0,0.0,0.0,0.0,,-19485.2,356975.0,-0.055,,,,1.105,-43738.465,-7018.279,-598.30975,0.827,0.996,37.61462450592885,27.786301734516158
normalized_1y39D_M10.pdb,,,0.317,0.0,0.105,0.462,,,0.0,0.0,0.0,0.0,0.0,0.0,,-18211.4,357440.0,-0.051,,,,1.068,-42889.902,-6907.895,-591.59076,0.743,0.984,40.13399209486166,30.868552522698547
normalized_1y39D_M100.pdb,,,0.263,0.0,0.101,0.384,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14298.8,357785.0,-0.04,,,,0.739,-39943.079,-6157.173,-582.729,0.837,0.895,63.08201581027667,56.578595518575284
normalized_1y39D_M101.pdb,,,0.261,0.0,0.118,0.37,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14307.5,361442.0,-0.04,,,,0.69,-40142.201,-6307.992,-592.4899,0.764,0.884,61.68616600790514,56.45457250179087
normalized_1y39D_M102.pdb,,,0.238,0.0,0.111,0.341,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13154.0,356162.0,-0.037,,,,0.611,-39149.111,-6027.671,-609.52844,0.799,0.87,62.608893280632415,55.1529744701621
normalized_1y39D_M103.pdb,,,0.317,0.0,0.118,0.456,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14262.3,359600.0,-0.04,,,,0.74,-40835.634,-6345.608,-577.25525,0.84,0.882,62.478656126482214,56.411388555770046
normalized_1y39D_M104.pdb,,,0.305,0.0,0.111,0.43,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15320.4,361606.0,-0.042,,,,0.794,-40690.28,-6293.812,-595.20374,0.837,0.892,59.9905138339921,52.45496993673191
normalized_1y39D_M105.pdb,,,0.322,0.0,0.105,0.452,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14861.4,357386.0,-0.042,,,,0.738,-39766.244,-5945.461,-586.47925,0.818,0.864,60.87786561264822,54.78692207336426
normalized_1y39D_M106.pdb,,,0.279,0.0,0.118,0.392,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15593.1,360471.0,-0.043,,,,0.736,-40836.015,-6292.492,-595.793,0.834,0.911,57.47845849802372,54.54304143175667
normalized_1y39D_M107.pdb,,,0.289,0.0,0.105,0.42,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15339.3,359453.0,-0.043,,,,0.765,-40930.692,-6414.79,-584.7767,0.846,0.895,63.666600790513826,56.996891152024766
normalized_1y39D_M108.pdb,,,0.312,0.0,0.118,0.444,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14049.7,358682.0,-0.039,,,,0.684,-39947.578,-6127.123,-583.54504,0.823,0.873,57.57865612648222,53.97271078761223
normalized_1y39D_M109.pdb,,,0.257,0.0,0.105,0.379,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15482.3,357143.0,-0.043,,,,0.824,-40895.718,-6381.217,-578.67926,0.849,0.901,59.694071146245065,55.63861166086706
normalized_1y39D_M11.pdb,,,0.312,0.0,0.111,0.452,,,0.0,0.0,0.0,0.0,0.0,0.0,,-19459.8,357322.0,-0.054,,,,1.082,-43855.115,-7081.477,-588.894,0.927,0.99,36.60098814229249,26.309057719226725
normalized_1y39D_M110.pdb,,,0.217,0.0,0.0,0.321,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14468.9,357887.0,-0.04,,,,0.647,-39811.341,-6167.31,-596.2406,0.819,0.878,58.976284584980235,52.63839017922986
normalized_1y39D_M111.pdb,,,0.241,0.0,0.149,0.331,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14394.9,360149.0,-0.04,,,,0.657,-40441.776,-6125.216,-606.1047,0.821,0.855,58.55652173913044,52.51801283879536
normalized_1y39D_M112.pdb,,,0.265,0.0,0.111,0.387,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13395.0,358973.0,-0.037,,,,0.762,-39898.524,-6115.274,-588.16956,0.831,0.845,60.538339920948616,55.510919266375005
