,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost,mae_gold,mae_dna
normalized_2gisA.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-44386.3,577931.0,-0.077,0.0,0.0,0.0,2.522,-78924.242,-12641.165,-928.14417,1.0,1.0,,22.214321716877667
normalized_2gisA_M2.pdb,0.694,0.0,0.949,1.0,0.866,0.937,0.731,1.55,0.999,1.0,1.0,1.0,1.0,1.0,0.979,-43031.5,576486.0,-0.075,0.0,0.092,0.097,2.459,-75058.859,-11967.112,-927.44135,0.901,0.999,2.0849821215733013,23.475200229301503
normalized_2gisA_M3.pdb,0.706,0.0,0.954,1.0,0.866,0.945,0.74,2.13,0.998,1.0,1.0,1.0,1.0,1.0,0.977,-42936.5,577142.0,-0.074,0.0,0.093,0.105,2.433,-74821.477,-11820.504,-924.45325,0.84,0.998,2.7143027413587597,23.839719262987337
normalized_2gisA_M1.pdb,0.709,0.0,0.954,1.0,0.866,0.943,0.743,2.08,0.998,1.0,1.0,1.0,1.0,1.0,0.974,-42719.1,577207.0,-0.074,0.0,0.093,0.102,2.464,-74992.584,-11836.324,-930.4335,0.821,0.998,2.7333730631704407,23.987100471864032
normalized_2gisA_M6.pdb,0.718,0.0,0.967,1.0,0.866,0.964,0.742,1.38,0.999,1.0,1.0,1.0,1.0,1.0,0.978,-43331.0,575868.0,-0.075,0.0,0.086,0.069,2.47,-75587.949,-12030.813,-927.34906,0.94,0.999,16.198303030303027,23.4112563841197
normalized_2gisA_M4.pdb,0.73,0.0,0.968,1.0,0.866,0.965,0.754,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.978,-43282.9,576648.0,-0.075,0.0,0.089,0.089,2.449,-75466.103,-11891.713,-928.6217,0.95,1.0,1.416090584028605,22.608485978033453
normalized_2gisA_M9.pdb,0.743,0.0,0.909,0.967,0.668,0.911,0.817,2.5,0.998,1.0,1.0,1.0,1.0,1.0,0.969,-42068.2,576597.0,-0.073,0.0,0.088,0.495,2.296,-74682.568,-11693.797,-916.5313,0.864,0.998,3.297377830750894,23.46849969083063
normalized_2gisA_M12.pdb,0.771,0.0,0.926,1.0,0.791,0.908,0.833,4.08,0.995,1.0,1.0,1.0,1.0,1.0,0.972,-42295.2,577488.0,-0.073,0.0,0.094,0.287,2.372,-74578.102,-11532.624,-923.7642,0.943,0.995,4.980333730631704,24.78606469017773
normalized_2gisA_M7.pdb,0.803,0.0,0.93,1.0,0.707,0.921,0.864,2.41,0.998,1.0,1.0,1.0,1.0,1.0,0.975,-42507.1,577770.0,-0.074,0.0,0.094,0.324,2.464,-74986.796,-11778.79,-926.38074,0.945,0.998,3.4980929678188315,23.27903699089215
normalized_2gisA_M11.pdb,0.806,0.0,0.972,1.0,0.866,0.972,0.829,3.18,0.997,1.0,1.0,1.0,1.0,1.0,0.974,-42923.7,575300.0,-0.075,0.0,0.089,0.126,2.401,-75199.681,-11952.628,-923.72845,0.878,0.997,3.7190703218116803,23.002766345692528
normalized_2gisA_M13.pdb,0.849,0.0,0.945,0.984,0.875,0.937,0.898,3.62,0.996,1.0,1.0,1.0,1.0,1.0,0.968,-42496.0,576125.0,-0.074,0.0,0.09,0.302,2.301,-75030.026,-11741.108,-917.53107,0.943,0.996,4.087246722288438,23.38410583878047
normalized_2gisA_M5.pdb,0.851,0.0,0.918,0.984,0.707,0.915,0.927,1.93,0.997,1.0,1.0,1.0,1.0,1.0,0.977,-42761.2,577347.0,-0.074,0.0,0.096,0.316,2.395,-74772.057,-11775.184,-924.86383,0.928,0.997,2.3903456495828372,23.10207872354486
normalized_2gisA_M8.pdb,0.856,0.0,0.882,0.967,0.668,0.868,0.971,2.39,0.998,1.0,1.0,1.0,1.0,1.0,0.966,-41571.5,577206.0,-0.072,0.0,0.094,0.563,2.259,-74003.508,-11369.734,-919.0587,0.934,0.998,2.9113230035756845,23.437212400593538
normalized_2gisA_M14.pdb,0.907,0.0,0.906,0.95,0.707,0.912,1.001,4.15,0.993,1.0,1.0,1.0,1.0,1.0,0.967,-41117.7,577301.0,-0.071,0.0,0.095,0.482,2.211,-74056.948,-11616.265,-929.6423,0.892,0.993,4.921811680572109,24.285357941360374
normalized_2gisA_M27.pdb,0.909,0.0,0.917,0.967,0.783,0.913,0.992,13.02,0.981,0.997,0.989,1.0,1.0,1.0,0.951,-40683.2,578803.0,-0.07,0.0,0.102,0.511,2.105,-73680.583,-11429.271,-908.73175,0.902,0.981,15.432181168057214,31.6138578511614
normalized_2gisA_M17.pdb,0.913,0.0,0.94,1.0,0.866,0.921,0.972,5.93,0.989,1.0,1.0,1.0,1.0,1.0,0.967,-41611.4,577628.0,-0.072,0.0,0.096,0.338,2.351,-74498.346,-11531.418,-919.0518,0.817,0.989,6.895589988081048,26.248756413284514
normalized_2gisA_M23.pdb,0.924,0.0,0.912,1.0,0.866,0.878,1.014,11.11,0.985,0.995,0.979,1.0,1.0,1.0,0.955,-40694.9,579396.0,-0.07,0.0,0.102,0.385,2.215,-74094.027,-11530.294,-924.5335,0.818,0.985,13.416924910607866,30.51629758648697
normalized_2gisA_M18.pdb,0.944,0.0,0.866,0.967,0.625,0.852,1.09,4.88,0.978,0.987,0.947,1.0,1.0,1.0,0.961,-41277.1,579815.0,-0.071,0.0,0.104,0.527,2.28,-74448.156,-11647.051,-927.971,0.834,0.978,5.372705601907032,23.975849337027856
normalized_2gisA_M21.pdb,0.947,0.0,0.925,0.984,0.866,0.905,1.024,10.74,0.987,0.997,0.989,1.0,1.0,1.0,0.957,-41171.6,577794.0,-0.071,0.0,0.101,0.375,2.223,-73765.431,-11544.128,-921.4173,0.931,0.987,13.207866507747317,29.193656751925197
normalized_2gisA_M10.pdb,0.963,0.0,0.904,0.984,0.802,0.882,1.065,2.35,0.994,1.0,1.0,1.0,1.0,1.0,0.97,-42375.1,577961.0,-0.073,0.0,0.096,0.414,2.331,-74863.398,-11739.535,-927.756,0.91,0.994,3.087365911799762,23.145673971575025
normalized_2gisA_M28.pdb,0.977,0.0,0.874,0.967,0.589,0.87,1.118,13.75,0.98,0.989,0.957,1.0,1.0,1.0,0.949,-40026.0,576513.0,-0.069,0.0,0.106,0.484,2.055,-72687.65,-11182.671,-921.1868,0.767,0.98,16.567699642431467,31.222123957828572
normalized_2gisA_M15.pdb,0.983,0.0,0.91,0.95,0.802,0.905,1.08,6.83,0.979,0.987,0.947,1.0,1.0,1.0,0.959,-40205.9,579284.0,-0.069,0.0,0.105,0.562,2.172,-73619.19,-11390.885,-924.7991,0.804,0.979,8.9492252681764,26.005072722296
normalized_2gisA_M29.pdb,0.991,0.0,0.879,0.967,0.668,0.864,1.128,13.51,0.981,0.992,0.968,1.0,1.0,1.0,0.952,-39234.8,578768.0,-0.068,0.0,0.108,0.614,2.053,-72113.713,-11076.631,-928.4539,0.849,0.981,16.559713945172824,31.7460293969274
normalized_2gisA_M26.pdb,0.993,0.0,0.888,0.967,0.707,0.876,1.118,13.16,0.981,0.989,0.957,1.0,1.0,1.0,0.956,-39322.6,578515.0,-0.068,0.0,0.105,0.496,2.147,-72246.378,-11254.288,-927.52606,0.881,0.981,17.061501787842673,33.432615383858916
normalized_2gisA_M20.pdb,1.006,0.0,0.939,1.0,0.791,0.928,1.072,10.63,0.975,0.992,0.968,1.0,1.0,1.0,0.951,-40402.1,580819.0,-0.07,0.0,0.112,0.467,2.161,-73142.805,-11153.178,-915.5314,0.867,0.975,14.81477949940405,29.484726642323388
normalized_2gisA_M34.pdb,1.008,0.0,0.943,1.0,0.866,0.926,1.069,17.24,0.973,0.984,0.936,1.0,1.0,1.0,0.947,-39696.8,578386.0,-0.069,0.0,0.111,0.296,2.023,-72504.785,-11118.436,-911.0484,0.915,0.973,19.938379022646007,34.86316215287899
normalized_2gisA_M22.pdb,1.021,0.0,0.883,0.95,0.783,0.868,1.157,13.56,0.979,0.995,0.979,1.0,1.0,1.0,0.952,-40014.8,579120.0,-0.069,0.0,0.107,0.612,2.051,-72313.976,-11362.241,-922.9501,0.849,0.979,17.40357568533969,33.09926742606894
normalized_2gisA_M19.pdb,1.022,0.0,0.888,0.95,0.707,0.884,1.151,9.21,0.976,0.987,0.947,1.0,1.0,1.0,0.961,-40698.9,579995.0,-0.07,0.0,0.105,0.52,2.195,-73660.855,-11445.731,-910.9664,0.866,0.976,11.258522050059595,29.761468069514095
normalized_2gisA_M25.pdb,1.048,0.0,0.887,0.95,0.559,0.904,1.182,11.23,0.981,0.995,0.979,1.0,1.0,1.0,0.95,-40308.9,577585.0,-0.07,0.0,0.106,0.522,2.154,-72962.407,-11351.89,-920.6505,0.747,0.981,13.634922526817641,31.30895240189005
normalized_2gisA_M16.pdb,1.095,0.0,0.859,0.984,0.589,0.837,1.275,6.0,0.982,0.992,0.968,1.0,1.0,1.0,0.959,-40774.1,577192.0,-0.071,0.0,0.104,0.579,2.233,-73529.896,-11401.838,-923.11676,0.899,0.982,7.729320619785458,26.2755637056474
normalized_2gisA_M43.pdb,1.095,0.0,0.888,0.967,0.75,0.87,1.233,26.11,0.971,0.987,0.947,1.0,1.0,1.0,0.947,-38178.0,577420.0,-0.066,0.0,0.114,0.441,2.031,-71013.532,-10870.579,-914.9744,0.878,0.971,28.773063170441,42.69170987742029
normalized_2gisA_M35.pdb,1.106,0.0,0.852,0.984,0.668,0.815,1.298,16.25,0.971,0.984,0.936,1.0,1.0,1.0,0.943,-39310.6,577817.0,-0.068,0.0,0.112,0.646,2.006,-72020.637,-11169.497,-934.6699,0.903,0.971,19.13325387365912,34.26140936620638
normalized_2gisA_M62.pdb,1.126,0.0,0.889,0.967,0.802,0.866,1.267,29.77,0.967,0.979,0.915,1.0,1.0,1.0,0.938,-38376.8,577105.0,-0.066,0.0,0.115,0.477,1.912,-71580.998,-10907.341,-937.36194,0.896,0.967,32.218712753277714,44.99186848953498
normalized_2gisA_M24.pdb,1.13,0.0,0.892,0.967,0.802,0.87,1.266,11.53,0.978,0.992,0.968,1.0,1.0,1.0,0.958,-40287.2,578816.0,-0.07,0.0,0.108,0.576,2.174,-73276.012,-11520.613,-917.56647,0.836,0.978,13.997854588796187,30.558374791937034
normalized_2gisA_M36.pdb,1.139,0.0,0.875,0.95,0.802,0.851,1.301,23.89,0.969,0.979,0.915,1.0,1.0,1.0,0.942,-38660.8,581382.0,-0.066,0.0,0.118,0.559,1.995,-71866.635,-11047.456,-917.63306,0.731,0.969,26.827294398092967,39.60353382023568
normalized_2gisA_M30.pdb,1.151,0.0,0.912,0.984,0.802,0.892,1.263,12.27,0.978,0.992,0.968,1.0,1.0,1.0,0.957,-39999.1,577343.0,-0.069,0.0,0.11,0.377,2.142,-72591.101,-11436.668,-944.04126,0.884,0.978,15.37902264600715,31.11578526635889
normalized_2gisA_M48.pdb,1.197,0.0,0.873,1.0,0.791,0.826,1.371,24.62,0.962,0.981,0.936,0.989,1.0,1.0,0.945,-38178.9,583137.0,-0.065,0.0,0.121,0.513,2.093,-72722.861,-11128.962,-934.8282,0.856,0.962,27.1642431466031,40.6043867923461
normalized_2gisA_M40.pdb,1.198,0.0,0.871,0.916,0.671,0.881,1.376,19.68,0.971,0.987,0.947,1.0,1.0,1.0,0.931,-38426.3,577112.0,-0.067,0.0,0.113,0.692,1.672,-71683.28,-10822.297,-921.03577,0.894,0.971,22.88641239570918,36.219322835779614
normalized_2gisA_M38.pdb,1.218,0.0,0.882,0.984,0.668,0.859,1.382,18.71,0.964,0.971,0.894,0.989,1.0,1.0,0.93,-37695.6,574570.0,-0.066,0.0,0.119,0.519,1.836,-71069.144,-11096.726,-927.9231,0.798,0.964,22.28152562574493,34.82938589209688
normalized_2gisA_M39.pdb,1.237,0.0,0.908,1.0,0.791,0.882,1.362,16.47,0.969,0.979,0.915,1.0,1.0,1.0,0.954,-40051.2,576845.0,-0.069,0.0,0.119,0.42,2.102,-73006.517,-11380.365,-927.3308,0.874,0.969,19.257806912991658,34.84119600820602
normalized_2gisA_M33.pdb,1.239,0.0,0.869,0.967,0.825,0.832,1.426,22.3,0.971,0.989,0.957,1.0,1.0,1.0,0.938,-36900.9,581442.0,-0.063,0.0,0.121,0.59,1.961,-71503.356,-10759.713,-923.4504,0.837,0.971,26.728605482717523,39.26806354474356
normalized_2gisA_M41.pdb,1.267,0.0,0.902,0.967,0.75,0.892,1.404,19.25,0.965,0.979,0.915,1.0,1.0,1.0,0.944,-39205.2,576541.0,-0.068,0.0,0.119,0.468,2.013,-72238.417,-11261.472,-914.8881,0.902,0.965,22.657330154946365,36.21898877853375
normalized_2gisA_M37.pdb,1.272,0.0,0.851,0.95,0.668,0.827,1.496,18.37,0.955,0.963,0.851,1.0,1.0,1.0,0.938,-38638.1,579672.0,-0.067,0.0,0.124,0.659,1.845,-71255.909,-10729.844,-924.9037,0.878,0.955,22.37914183551847,36.9283482760682
normalized_2gisA_M67.pdb,1.275,0.0,0.808,0.899,0.722,0.776,1.579,40.03,0.954,0.968,0.883,0.989,1.0,1.0,0.912,-35657.9,575727.0,-0.062,0.0,0.134,0.74,1.675,-68550.526,-9919.201,-925.02545,0.853,0.954,40.896066746126344,51.414847975901324
normalized_2gisA_M79.pdb,1.281,0.0,0.894,0.967,0.668,0.886,1.433,41.14,0.952,0.971,0.883,1.0,1.0,1.0,0.919,-36066.5,582352.0,-0.062,0.0,0.133,0.537,1.691,-69356.501,-10313.69,-931.2751,0.854,0.952,42.12574493444577,52.356980726051084
normalized_2gisA_M77.pdb,1.288,0.0,0.808,0.899,0.671,0.788,1.594,39.06,0.945,0.965,0.862,1.0,1.0,1.0,0.908,-34152.2,572579.0,-0.06,0.0,0.133,0.759,1.605,-68085.795,-9930.585,-912.5758,0.829,0.945,38.52812872467223,48.596962029489724
normalized_2gisA_M31.pdb,1.295,0.0,0.86,0.95,0.625,0.849,1.505,18.21,0.974,0.987,0.947,1.0,1.0,1.0,0.936,-38100.8,583543.0,-0.065,0.0,0.114,0.755,2.001,-71716.942,-10968.146,-936.42206,0.882,0.974,22.14707985697259,37.15557855308736
normalized_2gisA_M53.pdb,1.298,0.0,0.856,0.967,0.75,0.82,1.517,29.24,0.966,0.979,0.915,1.0,1.0,1.0,0.934,-37886.2,580076.0,-0.065,0.0,0.124,0.562,2.027,-71304.129,-10722.771,-902.73376,0.851,0.966,31.762336114421927,43.70563858501206
normalized_2gisA_M44.pdb,1.302,0.0,0.893,0.967,0.722,0.88,1.458,22.42,0.956,0.968,0.872,1.0,1.0,1.0,0.938,-38261.2,577336.0,-0.066,0.0,0.126,0.529,1.961,-71894.952,-10846.256,-924.0415,0.897,0.956,25.720023837902264,38.90744924291458
