,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost,mae_gold,mae_dna
normalized_3IVN.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-32016.7,387624.0,-0.083,0.0,0.0,0.0,2.103,-56989.115,-9509.369,1.0,1.0,,23.401965343829282
normalized_3dRNA-3IVN-3.pdb,4.222,0.0,0.758,0.917,0.378,0.728,5.569,16.95,0.709,0.779,0.594,0.739,0.812,0.971,0.786,-27038.9,406160.0,-0.067,0.0,0.382,1.312,1.768,-54519.512,-8784.276,0.709,0.707,30.703839732888152,26.799635676542916
normalized_3dRNA-3IVN-1.pdb,5.17,0.0,0.723,0.872,0.338,0.706,7.152,18.31,0.644,0.717,0.507,0.696,0.768,0.899,0.787,-25401.2,399958.0,-0.064,0.0,0.543,1.418,1.536,-52637.701,-8257.348,0.68,0.647,27.545409015025044,28.164073746734193
normalized_3dRNA-3IVN-4.pdb,5.282,0.0,0.78,0.917,0.436,0.755,6.772,14.62,0.741,0.808,0.609,0.812,0.855,0.957,0.802,-27491.6,370908.0,-0.074,0.0,0.438,1.225,1.845,-52366.388,-8043.008,1.0,1.0,19.08599348534202,27.316026873768806
normalized_FARFAR2-3IVN-S_000001_039_0001.pdb,5.384,0.0,0.741,0.924,0.267,0.697,7.263,21.91,0.351,0.5,0.174,0.275,0.58,0.971,0.748,-30757.9,355312.0,-0.087,0.0,0.508,1.272,1.893,-52514.209,-7915.582,0.584,0.461,28.4942996742671,23.241110833813643
normalized_3dRNA-3IVN-8.pdb,5.398,0.0,0.798,0.917,0.655,0.766,6.767,16.46,0.752,0.797,0.71,0.768,0.812,0.899,0.836,-29880.0,405781.0,-0.074,0.0,0.597,1.184,1.894,-55793.28,-8451.889,0.743,0.748,21.992671009771986,27.590007586659436
normalized_3dRNA-3IVN-9.pdb,5.929,0.0,0.765,0.917,0.218,0.751,7.745,17.84,0.653,0.714,0.449,0.725,0.797,0.884,0.781,-27838.6,400575.0,-0.069,0.0,0.634,1.402,1.751,-54134.826,-8781.061,0.018,0.196,27.579264214046827,27.42582850883747
normalized_FARFAR2-3IVN-S_000001_081_0001.pdb,5.933,0.0,0.727,0.96,0.0,0.679,8.165,21.48,0.34,0.471,0.203,0.275,0.551,0.855,0.735,-29971.7,340552.0,-0.088,0.0,0.582,1.384,1.913,-51379.708,-7503.412,0.48,0.257,28.313680781758954,24.317808279712587
normalized_FARFAR2-3IVN-S_000001_035_0001.pdb,6.13,0.0,0.71,0.941,0.0,0.667,8.629,23.49,0.413,0.525,0.203,0.377,0.638,0.884,0.724,-29962.2,375865.0,-0.08,0.0,0.624,1.458,2.043,-54998.488,-8115.478,0.572,0.457,32.214006514657974,25.129997684701614
normalized_FARFAR2-3IVN-S_000001_058_0001.pdb,6.254,0.0,0.751,0.962,0.0,0.734,8.322,21.14,0.39,0.522,0.232,0.348,0.623,0.884,0.764,-29580.2,369793.0,-0.08,0.0,0.651,1.431,2.069,-55264.954,-7365.948,0.611,0.483,29.23827361563518,20.983252161556912
normalized_3dRNA-3IVN-5.pdb,6.417,0.0,0.743,0.894,0.378,0.716,8.634,20.61,0.673,0.728,0.565,0.71,0.768,0.87,0.759,-19795.5,428179.0,-0.046,0.0,0.627,1.357,1.621,-53230.15,-8405.517,0.016,0.246,34.32233333333333,32.1021992661924
normalized_FARFAR2-3IVN-S_000001_068_0001.pdb,6.429,0.0,0.707,0.924,0.0,0.667,9.09,24.3,0.343,0.438,0.174,0.319,0.507,0.754,0.715,-30921.7,369211.0,-0.084,0.0,0.668,1.456,2.15,-54888.285,-7835.173,0.567,0.366,32.50602605863192,24.93444312839574
normalized_3dRNA-3IVN-2.pdb,6.592,0.0,0.738,0.917,0.436,0.692,8.933,16.75,0.668,0.736,0.565,0.71,0.768,0.899,0.783,-30308.2,378866.0,-0.08,0.0,0.709,1.363,1.822,-52847.904,-8669.715,0.666,0.664,30.11655518394649,24.940450355622342
normalized_3dRNA-3IVN-6.pdb,6.673,0.0,0.735,0.917,0.267,0.699,9.075,22.59,0.468,0.569,0.261,0.435,0.71,0.87,0.733,-25973.9,391467.0,-0.066,0.0,0.678,1.508,1.824,-52465.498,-7196.959,0.595,0.49,32.453589315525875,30.928161172072098
normalized_FARFAR2-3IVN-S_000001_063_0001.pdb,7.128,0.0,0.721,0.941,0.0,0.674,9.889,22.23,0.304,0.395,0.188,0.232,0.391,0.768,0.721,-29797.0,370520.0,-0.08,0.0,0.721,1.481,1.952,-54670.991,-8447.403,0.558,0.326,27.610749185667753,21.581240190591192
normalized_FARFAR2-3IVN-S_000001_045_0001.pdb,7.44,0.0,0.719,0.98,0.0,0.661,10.345,22.36,0.286,0.373,0.188,0.246,0.348,0.71,0.723,-28935.1,328470.0,-0.088,0.0,0.785,1.446,1.919,-50053.45,-6606.885,0.522,0.322,29.871661237785016,19.95659565483172
normalized_3dRNA-3IVN-7.pdb,7.954,0.0,0.712,0.917,0.267,0.667,11.176,22.78,0.422,0.547,0.261,0.406,0.681,0.841,0.709,-31937.1,363425.0,-0.088,0.0,0.844,1.428,1.829,-51332.846,-7890.708,0.614,0.381,30.940228013029316,30.786234355546355
normalized_RNAComposer-3IVN-3.pdb,8.133,0.0,0.738,0.959,,0.671,11.013,21.38,0.24,0.351,0.159,0.217,0.333,0.696,0.723,-17744.0,317128.0,-0.056,0.0,0.88,1.376,1.244,-40507.419,-4840.194,0.508,0.316,26.64201954397394,29.380691899302903
normalized_3dRNA-3IVN-10.pdb,8.478,0.0,0.716,0.917,0.267,0.673,11.838,22.07,0.403,0.518,0.304,0.348,0.594,0.826,0.71,-29626.2,401051.0,-0.074,0.0,0.897,1.441,1.832,-53847.91,-8356.168,0.575,0.413,31.691,28.469630228590848
normalized_RNAComposer-3IVN-9.pdb,8.521,0.0,0.688,0.959,0.0,0.596,12.391,22.18,0.236,0.337,0.145,0.232,0.333,0.638,0.722,-18327.8,296879.0,-0.062,0.0,0.913,1.401,1.147,-39013.13,-4406.259,0.498,0.3,26.932573289902276,31.69052547048457
normalized_RNAComposer-3IVN-4.pdb,9.938,1.4876988529977098e-14,0.707,0.938,,0.63,14.06,24.1,0.209,0.293,0.101,0.203,0.304,0.565,0.675,-16169.8,309323.0,-0.052,0.0,1.053,1.503,1.109,-39173.02,-4645.192,0.449,0.286,28.45602605863192,30.56379586052649
normalized_RNAComposer-3IVN-2.pdb,10.047,2.3758772726978356e-14,0.696,0.959,0.0,0.61,14.439,21.77,0.227,0.304,0.159,0.232,0.275,0.551,0.713,-18043.5,309718.0,-0.058,0.0,1.07,1.42,1.166,-39692.779,-4791.019,0.489,0.306,26.53159609120521,31.519588762788022
normalized_FARFAR2-3IVN-S_000001_067_0001.pdb,10.199,4.5241588253475135e-14,0.73,0.981,0.0,0.667,13.979,20.25,0.248,0.337,0.232,0.246,0.304,0.565,0.709,-30596.0,351847.0,-0.087,0.0,1.109,1.41,1.939,-51883.209,-7521.431,0.531,0.28,28.764495114006518,20.299440918755284
normalized_FARFAR2-3IVN-S_000001_083_0001.pdb,10.205,4.6407322429331543e-14,0.695,0.939,0.0,0.648,14.679,24.43,0.25,0.355,0.203,0.261,0.348,0.609,0.713,-28782.7,358799.0,-0.08,0.0,1.053,1.529,2.021,-53329.464,-7868.632,0.541,0.312,32.609446254071656,27.24211614418685
normalized_RNAComposer-3IVN-6.pdb,10.32,7.494005416219809e-14,0.706,0.938,0.378,0.612,14.626,22.21,0.23,0.315,0.174,0.217,0.304,0.565,0.684,-17476.8,299814.0,-0.058,0.0,1.114,1.46,1.135,-39927.271,-4795.021,0.449,0.257,32.29083333333333,28.97223931615026
normalized_RNAComposer-3IVN-8.pdb,10.821,5.860312235483889e-13,0.692,0.959,0.0,0.601,15.634,23.7,0.184,0.246,0.101,0.174,0.29,0.42,0.683,-18070.3,296316.0,-0.061,0.0,1.178,1.446,1.191,-39761.636,-4924.642,0.45,0.254,28.41628664495114,30.685040197995107
normalized_RNAComposer-3IVN-5.pdb,10.844,6.412093078722594e-13,0.677,0.917,0.0,0.605,16.007,24.2,0.22,0.275,0.145,0.217,0.275,0.464,0.708,-17030.9,325903.0,-0.052,0.0,1.155,1.397,1.206,-40443.808,-5224.523,0.543,0.281,28.27312703583062,31.39920721283483
normalized_FARFAR2-3IVN-S_000001_022_0001.pdb,10.891,7.747136265834342e-13,0.678,0.941,0.0,0.618,16.052,20.09,0.258,0.319,0.174,0.261,0.29,0.551,0.698,-28695.4,337678.0,-0.085,0.0,1.164,1.582,1.762,-50037.152,-6833.932,0.478,0.266,29.12768729641694,19.82209829874465
normalized_RNAComposer-3IVN-1.pdb,11.341,4.549749466065123e-12,0.731,0.938,0.267,0.667,15.521,23.13,0.236,0.297,0.159,0.246,0.29,0.493,0.708,-17654.4,309102.0,-0.057,0.0,1.237,1.41,1.121,-39204.731,-4456.942,0.486,0.241,27.747231270358306,31.069244045244456
normalized_RNAComposer-3IVN-10.pdb,11.445,6.809386388084704e-12,0.684,0.959,0.0,0.586,16.735,23.09,0.235,0.279,0.188,0.232,0.29,0.406,0.69,-17901.6,299982.0,-0.06,0.0,1.239,1.471,1.127,-40202.777,-5011.513,0.455,0.276,27.881270358306192,28.322914368672063
normalized_RNAComposer-3IVN-7.pdb,12.634,5.25226029335357e-10,0.61,0.917,0.218,0.484,20.726,24.27,0.182,0.221,0.101,0.188,0.246,0.348,0.658,-15233.9,382387.0,-0.04,0.0,1.364,1.638,1.068,-44525.152,-5684.322,0.447,0.215,28.962703583061888,30.931366038895963
normalized_SimRNA-3IVN-4.pdb,19.081,0.0058659873033163,0.598,0.751,0.0,0.578,31.895,26.26,0.178,0.217,0.116,0.174,0.246,0.333,0.65,-30237.9,310051.0,-0.098,0.0,1.997,1.824,1.598,-44731.849,-5266.856,0.017,0.231,33.96693811074918,21.598109980055558
normalized_SimRNA-3IVN-6.pdb,20.607,0.0472738344225061,0.649,0.725,0.0,0.676,31.757,25.53,0.201,0.232,0.116,0.203,0.261,0.348,0.678,-30270.9,364979.0,-0.083,0.0,2.121,1.845,1.729,-48800.919,-5982.913,0.011,0.224,32.65245098039215,19.902476057072278
normalized_SimRNA-3IVN-10.pdb,21.04,0.0761042836449293,0.596,0.706,0.0,0.604,35.324,26.28,0.208,0.275,0.159,0.232,0.304,0.406,0.659,-28846.6,358798.0,-0.08,0.0,2.199,1.883,1.716,-46667.969,-4885.827,0.41,0.242,32.55211726384365,20.361803107245272
normalized_SimRNA-3IVN-8.pdb,21.114,0.0821911748303704,0.66,0.768,0.0,0.666,31.999,27.1,0.2,0.232,0.116,0.203,0.261,0.348,0.65,-29412.1,364562.0,-0.081,0.0,2.181,1.872,1.665,-47675.764,-6041.714,0.204,0.174,34.239869281045756,20.316137098856398
normalized_SimRNA-3IVN-11.pdb,21.611,0.1325150859820268,0.639,0.751,0.0,0.648,33.793,25.88,0.213,0.235,0.13,0.217,0.261,0.333,0.669,-29038.3,319725.0,-0.091,0.0,2.228,1.822,1.781,-45589.246,-5708.232,0.525,0.208,31.638336052202288,19.42627657891961
normalized_SimRNA-3IVN-9.pdb,22.043,0.1909359690728345,0.578,0.735,0.0,0.564,38.136,,0.225,0.279,0.145,0.232,0.319,0.42,0.68,-28461.8,366955.0,-0.078,0.0,2.266,1.82,1.713,-48703.667,-6547.554,0.008,0.249,33.48369028006589,21.994505028216697
normalized_SimRNA-3IVN-7.pdb,22.459,0.2600021266274046,0.573,0.682,0.0,0.577,39.225,26.88,0.214,0.268,0.159,0.217,0.304,0.391,0.656,-30726.1,371811.0,-0.083,0.0,2.325,1.752,1.578,-49548.727,-6682.632,0.031,0.239,33.748039215686276,21.264834297153957
normalized_SimRNA-3IVN-2.pdb,22.583,0.2828202402299896,0.611,0.706,0.0,0.616,36.967,26.72,0.219,0.261,0.159,0.217,0.304,0.362,0.67,-30584.1,351986.0,-0.087,0.0,2.386,1.742,1.672,-48134.652,-6065.4,0.003,0.252,32.06628477905074,21.01428131917668
normalized_SimRNA-3IVN-1.pdb,23.18,0.4040707025180594,0.595,0.735,0.0,0.591,38.969,24.87,0.219,0.275,0.145,0.246,0.319,0.391,0.665,-29707.2,355127.0,-0.084,0.0,2.432,1.756,1.816,-47219.59,-5731.608,0.008,0.238,31.407166123778502,22.086159702838494
normalized_SimRNA-3IVN-3.pdb,23.289,0.4277846139340772,0.627,0.76,0.0,0.649,37.12,,0.244,0.279,0.145,0.246,0.333,0.391,0.688,-30061.6,352657.0,-0.085,0.0,2.4,1.747,1.7,-48025.765,-6129.479,0.11,0.435,30.449588138385504,17.540853436236986
normalized_SimRNA-3IVN-5.pdb,24.017,0.5880239852917029,0.546,0.768,0.0,0.525,43.966,24.08,0.18,0.243,0.13,0.188,0.261,0.391,0.67,-28426.1,373596.0,-0.076,0.0,2.48,1.772,1.769,-49027.858,-6707.161,0.023,0.253,30.565196078431374,18.562909188549135
